#       x                y            Correxpect        Corryield
     0.362500         0.587500         0.045583         0.591285
     0.362500         0.612500         0.042821         0.544678
     0.362500         0.637500         0.040227         0.500479
     0.362500         0.662500         0.037789         0.459721
     0.362500         0.687500         0.035500         0.423149
     0.362500         0.712500         0.033349         0.391201
     0.362500         0.737500         0.031328         0.364006
     0.362500         0.762500         0.029430         0.341395
     0.362500         0.787500         0.027647         0.322942
     0.362500         0.812500         0.025972         0.308005
     0.362500         0.837500         0.024399         0.295795
     0.362500         0.862500         0.022920         0.285436
     0.362500         0.887500         0.021532         0.276038
     0.362500         0.912500         0.020227         0.266765
     0.362500         0.937500         0.019002         0.256896
     0.362500         0.962500         0.017850         0.245877
     0.362500         0.987500         0.016769         0.233356
     0.387500         0.012500         0.031328         0.352986
     0.387500         0.037500         0.033349         0.380358
     0.387500         0.062500         0.035500         0.413716
     0.387500         0.087500         0.037789         0.452642
     0.387500         0.112500         0.040227         0.496347
     0.387500         0.137500         0.042821         0.543709
     0.387500         0.162500         0.045583         0.593331
     0.387500         0.187500         0.048522         0.643614
     0.387500         0.212500         0.051652         0.692842
     0.387500         0.237500         0.054983         0.739272
     0.387500         0.262500         0.058529         0.781222
     0.387500         0.287500         0.062304         0.817162
     0.387500         0.312500         0.066322         0.845785
     0.387500         0.337500         0.070600         0.866079
     0.387500         0.362500         0.075153         0.877369
     0.387500         0.387500         0.080000         0.879346
     0.387500         0.412500         0.075153         0.872080
     0.387500         0.437500         0.070600         0.856004
     0.387500         0.462500         0.066322         0.831884
     0.387500         0.487500         0.062304         0.800770
     0.387500         0.512500         0.058529         0.763936
     0.387500         0.537500         0.054983         0.722804
     0.387500         0.562500         0.051652         0.678871
     0.387500         0.587500         0.048522         0.633625
     0.387500         0.612500         0.045583         0.588475
     0.387500         0.637500         0.042821         0.544678
     0.387500         0.662500         0.040227         0.503290
     0.387500         0.687500         0.037789         0.465119
     0.387500         0.712500         0.035500         0.430706
     0.387500         0.737500         0.033349         0.400313
     0.387500         0.762500         0.031328         0.373938
     0.387500         0.787500         0.029430         0.351337
     0.387500         0.812500         0.027647         0.332070
     0.387500         0.837500         0.025972         0.315546
     0.387500         0.862500         0.024399         0.301083
     0.387500         0.887500         0.022920         0.287969
     0.387500         0.912500         0.021532         0.275522
     0.387500         0.937500         0.020227         0.263139
     0.387500         0.962500         0.019002         0.250350
     0.387500         0.987500         0.017850         0.236842
     0.412500         0.012500         0.029430         0.321441
     0.412500         0.037500         0.031328         0.347016
     0.412500         0.062500         0.033349         0.378724
     0.412500         0.087500         0.035500         0.416206
     0.412500         0.112500         0.037789         0.458752
     0.412500         0.137500         0.040227         0.505335
     0.412500         0.162500         0.042821         0.554667
     0.412500         0.187500         0.045583         0.605257
     0.412500         0.212500         0.048522         0.655492
     0.412500         0.237500         0.051652         0.703715
     0.412500         0.262500         0.054983         0.748307
     0.412500         0.287500         0.058529         0.787768
     0.412500         0.312500         0.062304         0.820787
     0.412500         0.337500         0.066322         0.846301
     0.412500         0.362500         0.070600         0.863545
     0.412500         0.387500         0.075153         0.872080
     0.412500         0.412500         0.080000         0.871805
     0.412500         0.437500         0.075153         0.862951
     0.412500         0.462500         0.070600         0.846062
     0.412500         0.487500         0.066322         0.821953
     0.412500         0.512500         0.062304         0.791659
